;CrawledSite;URL;Site;Method;Origin
127;https://www.munichre.com;"data:image/gif;base64,R0lGODlhBQAFAIABAAB/kv///yH/C1hNUCBEYXRhWE1QPD94cGFja2V0IGJlZ2luPSLvu78iIGlkPSJXNU0wTXBDZWhpSHpyZVN6TlRjemtjOWQiPz4gPHg6eG1wbWV0YSB4bWxuczp4PSJhZG9iZTpuczptZXRhLyIgeDp4bXB0az0iQWRvYmUgWE1QIENvcmUgNS4zLWMwMTEgNjYuMTQ1NjYxLCAyMDEyLzAyLzA2LTE0OjU2OjI3ICAgICAgICAiPiA8cmRmOlJERiB4bWxuczpyZGY9Imh0dHA6Ly93d3cudzMub3JnLzE5OTkvMDIvMjItcmRmLXN5bnRheC1ucyMiPiA8cmRmOkRlc2NyaXB0aW9uIHJkZjphYm91dD0iIiB4bWxuczp4bXA9Imh0dHA6Ly9ucy5hZG9iZS5jb20veGFwLzEuMC8iIHhtbG5zOnhtcE1NPSJodHRwOi8vbnMuYWRvYmUuY29tL3hhcC8xLjAvbW0vIiB4bWxuczpzdFJlZj0iaHR0cDovL25zLmFkb2JlLmNvbS94YXAvMS4wL3NUeXBlL1Jlc291cmNlUmVmIyIgeG1wOkNyZWF0b3JUb29sPSJBZG9iZSBQaG90b3Nob3AgQ1M2IChXaW5kb3dzKSIgeG1wTU06SW5zdGFuY2VJRD0ieG1wLmlpZDo4MTdFOURENkU3Q0IxMUUyQTEzQjkzM0JCNEVFRjBGOCIgeG1wTU06RG9jdW1lbnRJRD0ieG1wLmRpZDo4MTdFOUREN0U3Q0IxMUUyQTEzQjkzM0JCNEVFRjBGOCI+IDx4bXBNTTpEZXJpdmVkRnJvbSBzdFJlZjppbnN0YW5jZUlEPSJ4bXAuaWlkOjgxN0U5REQ0RTdDQjExRTJBMTNCOTMzQkI0RUVGMEY4IiBzdFJlZjpkb2N1bWVudElEPSJ4bXAuZGlkOjgxN0U5REQ1RTdDQjExRTJBMTNCOTMzQkI0RUVGMEY4Ii8+IDwvcmRmOkRlc2NyaXB0aW9uPiA8L3JkZjpSREY+IDwveDp4bXBtZXRhPiA8P3hwYWNrZXQgZW5kPSJyIj8+Af/+/fz7+vn49/b19PPy8fDv7u3s6+rp6Ofm5eTj4uHg397d3Nva2djX1tXU09LR0M/OzczLysnIx8bFxMPCwcC/vr28u7q5uLe2tbSzsrGwr66trKuqqainpqWko6KhoJ+enZybmpmYl5aVlJOSkZCPjo2Mi4qJiIeGhYSDgoGAf359fHt6eXh3dnV0c3JxcG9ubWxramloZ2ZlZGNiYWBfXl1cW1pZWFdWVVRTUlFQT05NTEtKSUhHRkVEQ0JBQD8+PTw7Ojk4NzY1NDMyMTAvLi0sKyopKCcmJSQjIiEgHx4dHBsaGRgXFhUUExIREA8ODQwLCgkIBwYFBAMCAQAAIfkEAQAAAQAsAAAAAAUABQBAAgdEfBlrrV4AADs=";ta:image;GET;
128;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/font/Munich_RE_Web-Regular.woff;www.munichre.com;GET;https://www.munichre.com
129;https://www.munichre.com;https://chart-service.munichre.com/teaser/muenchnerrueck/English;chart-service.munichre.com;GET;
130;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/img/icnSoc.png;www.munichre.com;GET;
131;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/img/bg_navigation.png;www.munichre.com;GET;
132;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/img/arrow_navigation.gif;www.munichre.com;GET;
133;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/img/bgTeaserTxtHome.png;www.munichre.com;GET;
134;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/img/lgnRsk.png;www.munichre.com;GET;
135;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/img/bgSrc.gif;www.munichre.com;GET;
136;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/img/clr/plIcnSpr.png;www.munichre.com;GET;
137;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/img/bgMnLgh.png;www.munichre.com;GET;
138;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/img/print_22x16_a.png;www.munichre.com;GET;
139;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/webtrends.js;www.munichre.com;GET;
140;https://www.munichre.com;https://netdna.bootstrapcdn.com/font-awesome/4.6.3/fonts/fontawesome-webfont.woff2?v=4.6.3;netdna.bootstrapcdn.com;GET;https://www.munichre.com
141;https://www.munichre.com;https://www.munichre.com/en/homepage/browserinfo.html;www.munichre.com;POST;https://www.munichre.com
142;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/libs/jquery-ui/css/smoothness/images/ui-bg_flat_75_ffffff_40x100.png;www.munichre.com;GET;
143;https://www.munichre.com;https://chart-service.munichre.com/css/reset-v2.0.css;chart-service.munichre.com;GET;
144;https://www.munichre.com;https://chart-service.munichre.com/clients/muenchnerrueck/css/teaser.css?v=1;chart-service.munichre.com;GET;
145;https://www.munichre.com;https://chart-service.munichre.com/js/jquery-v1.7.2.min.js;chart-service.munichre.com;GET;
146;https://www.munichre.com;https://chart-service.munichre.com/js/highstock-v1.3.6.min.js;chart-service.munichre.com;GET;
147;https://www.munichre.com;https://chart-service.munichre.com/js/common-v1.0.0.min.js;chart-service.munichre.com;GET;
148;https://www.munichre.com;https://chart-service.munichre.com/clients/muenchnerrueck/css/images/loading.gif;chart-service.munichre.com;GET;
149;https://www.munichre.com;https://chart-service.munichre.com/js/_v2/vendor/easyXDM-2.4.19.3.min.js;chart-service.munichre.com;GET;
150;https://www.munichre.com;https://chart-service.munichre.com/js/_v2/vendor/postMessageDocumentHeight.min.js;chart-service.munichre.com;GET;
151;https://www.munichre.com;https://s.webtrends.com/js/webtrends.replicate.js;s.webtrends.com;GET;
152;https://www.munichre.com;https://statse.webtrendslive.com/dcs222phuinekxixlok7birlg_6u1b/wtid.js?callback=Webtrends.dcss.dcsobj_0.dcsGetIdCallback;statse.webtrendslive.com;GET;
153;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/css/rwd_phone.css;www.munichre.com;GET;
154;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/css/rwd_fixedheadertable.css;www.munichre.com;GET;
